attraction_id,attraction_name,city_id,category,entry_fee_indian_inr,entry_fee_foreigner_inr,camera_fee_inr,trust_score,scam_markup_pct,timestamp
1,Kamakhya Temple,10,Temple,0,0,25,60.2,21.0,2025-03-13 04:19:07
2,Umananda Island,10,Market,100,800,100,57.9,24.2,2025-03-03 18:25:04
3,Mahabodhi Temple,16,Temple,20,100,50,78.1,4.7,2026-05-23 01:32:46
4,Dwarkadhish Temple,32,Temple,100,800,0,80.6,5.3,2026-02-10 07:48:58
5,Somnath Temple,33,Temple,50,500,50,75.9,8.6,2025-02-11 20:44:27
6,The Ridge,39,Market,200,1000,25,36.8,51.1,2025-11-04 02:57:16
7,Jakhu Temple,39,Temple,20,300,0,71.7,18.7,2025-04-16 04:52:05
8,Solang Valley,40,Temple,0,0,50,82.1,2.0,2026-05-20 10:33:53
9,Rohtang Pass,40,Market,200,3000,25,82.2,2.7,2025-10-04 03:41:53
10,Mysore Palace,49,Palace,30,150,100,61.9,30.9,2025-12-25 20:06:03
11,Chamundi Hills,49,Zoo,50,500,100,95.9,0,2026-01-31 00:42:12
12,Virupaksha Temple,50,Temple,20,200,0,62.9,38.2,2025-05-29 08:14:28
13,Vittala Temple Complex,50,Waterfall,0,0,0,48.9,55.4,2026-06-13 20:54:04
14,Fort Kochi,55,Lake,0,0,100,55.0,33.5,2026-05-12 05:03:26
15,Chinese Fishing Nets,55,Market,30,150,50,77.7,11.4,2025-07-19 22:10:34
16,Padmanabhaswamy Temple,56,Temple,30,450,0,71.1,11.8,2025-05-30 19:10:10
17,Kovalam Beach,56,Beach,10,150,0,86.3,0,2026-04-03 16:15:48
18,Eravikulam National Park,57,Waterfall,10,150,0,72.8,15.3,2025-06-12 21:40:38
19,Munnar Tea Gardens,57,National Park,200,1600,0,71.5,11.2,2025-02-08 18:25:57
20,Khajuraho Temples,64,Hill Station Point,150,1500,0,59.4,27.3,2026-01-04 20:07:57
21,Gwalior Fort,65,Fort,20,160,25,59.2,32.0,2025-06-10 11:18:42
22,Gateway of India,69,Heritage Walk,20,200,0,87.8,0,2025-03-18 15:26:03
23,Marine Drive,69,Market,0,0,100,52.2,31.3,2025-06-11 12:45:58
24,Elephanta Caves,69,Temple,150,1500,25,57.8,39.9,2025-09-05 10:25:16
25,Shaniwar Wada,70,Palace,0,0,25,76.5,10.1,2026-04-13 07:41:08
26,Aga Khan Palace,70,Palace,100,500,0,78.2,4.3,2025-06-06 21:22:00
27,Elephant Falls,79,Garden,0,0,0,70.8,9.4,2025-03-31 14:51:07
28,Umiam Lake,79,Lake,20,160,50,67.2,18.8,2025-08-22 19:14:58
29,Lingaraj Temple,86,Temple,20,300,25,83.1,3.2,2025-05-14 23:40:40
